"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3"
"Jaden Springer","PHI",20,16,13,3,89.3,42,17,35,2,5,6,8,6,8,14,8,3,7,3,15,98,0,0
"Jalen McDaniels","PHI",25,80,31,49,1912.9,755,281,617,77,232,116,138,63,283,346,130,93,83,34,209,1623,3,0
"James Harden","PHI",33,58,39,19,2135,1216,371,842,161,418,313,361,40,314,354,618,195,71,31,112,2679,36,5
"Joel Embiid","PHI",29,66,43,23,2284.1,2183,728,1328,66,200,661,771,113,557,670,274,226,66,112,205,3706,39,1
"Louis King","PHI",24,1,1,0,28.8,20,8,13,4,8,0,1,2,2,4,2,2,1,0,4,29,0,0
"Mac McClung","PHI",24,2,2,0,41.1,25,9,20,4,11,3,5,3,7,10,9,3,0,0,3,48,0,0
"Michael Foster Jr.","PHI",20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montrezl Harrell","PHI",29,57,35,22,681.1,320,125,209,0,6,70,101,67,92,159,33,35,17,25,75,651,1,0
"P.J. Tucker","PHI",38,75,48,27,1920.1,266,96,225,55,140,19,23,95,200,295,60,44,39,15,180,828,0,0
"Paul Reed","PHI",24,69,44,25,755.2,287,124,209,1,6,38,51,112,150,262,27,45,45,51,123,885,5,0
"Shake Milton","PHI",26,76,52,24,1567.4,637,241,503,56,148,99,116,39,152,191,240,94,25,13,123,1246,3,0
"Tobias Harris","PHI",30,74,47,27,2435.9,1085,423,845,126,324,113,129,67,357,424,186,89,68,40,149,2108,7,0
"Tyrese Maxey","PHI",22,60,39,21,2015.8,1218,439,913,160,369,180,213,23,153,176,212,80,49,8,132,1838,0,0
"Bismack Biyombo","PHX",30,61,33,28,874.1,263,119,206,0,0,25,70,89,171,260,56,51,18,88,114,926,3,0
"Cameron Payne","PHX",28,48,27,21,968.3,493,188,453,68,185,49,64,12,94,106,214,81,33,8,88,983,3,0
